book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title
28,7624,7624,2766512,458,140283331,9.78014E+12,William Golding,1954,Lord of the Flies ,Lord of the Flies
29,18135,18135,3349450,1937,743477111,9.78074E+12,"William Shakespeare, Robert           Jackson",1595,An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet
30,8442457,19288043,13306276,196,297859382,9.7803E+12,Gillian Flynn,2012,Gone Girl,Gone Girl
31,4667024,4667024,4717423,183,399155341,9.7804E+12,Kathryn Stockett,2009,The Help,The Help
32,890,890,40283,373,142000671,9.78014E+12,John Steinbeck,1937,Of Mice and Men ,Of Mice and Men
33,930,929,1558965,220,739326228,9.78074E+12,Arthur Golden,1997,Memoirs of a Geisha,Memoirs of a Geisha
34,10818853,10818853,15732562,169,1612130291,9.78161E+12,E.L. James,2011,Fifty Shades of Grey,"Fifty Shades of Grey (Fifty Shades, #1)"
35,865,865,4835472,458,61122416,9.78006E+12,"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,The Alchemist
36,3636,3636,2543234,192,385732554,9.78039E+12,Lois Lowry,1993,The Giver,"The Giver (The Giver, #1)"
37,100915,100915,4790821,474,60764899,9.78006E+12,C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)"
38,14050,18619684,2153746,167,965818675,9.78097E+12,Audrey Niffenegger,2003,The Time Traveler's Wife,The Time Traveler's Wife
39,13496,13496,1466917,101,553588486,9.78055E+12,George R.R. Martin,1996,A Game of Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)"
40,19501,19501,3352398,185,143038419,9.78014E+12,Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","Eat, Pray, Love"
41,28187,28187,3346751,159,786838655,9.78079E+12,Rick Riordan,2005,The Lightning Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)"
42,1934,1934,3244642,1707,451529308,9.78045E+12,Louisa May Alcott,1868,Little Women,"Little Women (Little Women, #1)"
43,10210,10210,2977639,2568,142437204,9.78014E+12,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,Jane Eyre
44,15931,15931,1498135,190,553816713,9.78055E+12,Nicholas Sparks,1996,The Notebook,"The Notebook (The Notebook, #1)"
45,4214,4214,1392700,264,770430074,9.78077E+12,Yann Martel,2001,Life of Pi,Life of Pi
46,43641,43641,3441236,128,1565125606,9.78157E+12,Sara Gruen,2006,Water for Elephants,Water for Elephants
47,19063,19063,878368,251,375831002,9.78038E+12,Markus Zusak,2005,The Book Thief,The Book Thief
48,4381,4381,1272463,507,307347974,9.78031E+12,Ray Bradbury,1953,Fahrenheit 451,Fahrenheit 451
49,49041,49041,3203964,194,316160199,9.78032E+12,Stephenie Meyer,2006,"New Moon (Twilight, #2)","New Moon (Twilight, #2)"
50,30119,30119,30518,45,60513039,9.78006E+12,Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Where the Sidewalk Ends
51,256683,256683,2267189,178,1416914285,9.78142E+12,Cassandra Clare,2007,City of Bones,"City of Bones (The Mortal Instruments, #1)"
52,428263,428263,2675454,185,316160202,9.78032E+12,Stephenie Meyer,2007,Eclipse,"Eclipse (Twilight, #3)"
53,113436,113436,3178011,217,375826696,9.78038E+12,Christopher Paolini,2002,Eragon,"Eragon (The Inheritance Cycle, #1)"
54,11,386162,3078186,257,345391802,9.78035E+12,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
55,5129,5129,3204877,515,60929871,9.78006E+12,Aldous Huxley,1932,Brave New World,Brave New World
56,1162543,1162543,2960529,183,031606792X,9.78032E+12,Stephenie Meyer,2008,Breaking Dawn,"Breaking Dawn (Twilight, #4)"
57,37435,37435,3275013,125,142001740,9.78014E+12,Sue Monk Kidd,2001,The Secret Life of Bees,The Secret Life of Bees
58,2956,2956,1835605,2277,142437174,9.78014E+12,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn
59,24178,24178,987048,180,64410935,9.78006E+12,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,Charlotte's Web
60,1618,1618,4259809,183,1400032717,9.7814E+12,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time
61,22557272,22557272,41107568,14,1594633665,9.78159E+12,Paula Hawkins,2015,The Girl on the Train,The Girl on the Train
62,119322,119322,1536771,287,679879242,9.78068E+12,Philip Pullman,1995,Northern Lights,"The Golden Compass (His Dark Materials, #1)"
63,6185,6185,1565818,2498,393978893,9.78039E+12,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,Wuthering Heights
64,10917,10917,1639903,125,743454537,9.78074E+12,Jodi Picoult,2004,My Sister's Keeper,My Sister's Keeper
65,4981,4981,1683562,241,385333846,9.78039E+12,Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Slaughterhouse-Five
66,18405,18405,3358283,409,446675539,9.78045E+12,Margaret Mitchell,1936,Gone with the Wind,Gone with the Wind
67,128029,128029,3271379,197,1594489505,9.78159E+12,Khaled Hosseini,2007,A Thousand Splendid Suns,A Thousand Splendid Suns
68,22628,22628,2236198,128,671027344,9.78067E+12,Stephen Chbosky,1999,The Perks of Being a Wallflower,The Perks of Being a Wallflower
69,11735983,11735983,15524542,164,7442912,9.78001E+12,Veronica Roth,2012,Insurgent,"Insurgent (Divergent, #2)"
70,375802,375802,2422333,224,812550706,9.78081E+12,Orson Scott Card,1985,Ender's Game,"Ender's Game (Ender's Saga, #1)"
71,18490,18490,4836639,2618,141439475,9.78014E+12,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus",Frankenstein
72,11588,11588,849585,289,450040186,9.78045E+12,Stephen King,1977,The Shining,The Shining (The Shining #1)
73,1656001,1656001,3328799,161,316068047,9.78032E+12,Stephenie Meyer,2008,The Host,"The Host (The Host, #1)"
74,99561,99561,919292,187,142402516,9.78014E+12,John Green,2005,Looking for Alaska,Looking for Alaska
75,227443,227443,3185154,193,014028009X,9.78014E+12,Helen Fielding,1996,,"Bridget Jones's Diary (Bridget Jones, #1)"
76,14935,14935,2809709,1969,141439661,9.78014E+12,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,Sense and Sensibility
77,38709,38709,1679789,138,439244196,9.78044E+12,"Louis Sachar, Louis Sachar",1998,Holes,"Holes (Holes, #1)"
78,5139,5139,38765,129,307275558,9.78031E+12,Lauren Weisberger,2003,The Devil Wears Prada,"The Devil Wears Prada (The Devil Wears Prada, #1)"
79,1381,1381,3356006,1703,143039954,9.78014E+12,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,Ὀδύσσεια,The Odyssey
80,157993,157993,2180358,1708,156012197,9.78016E+12,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,Le Petit Prince,The Little Prince
81,7445,7445,2944133,92,074324754X,9.78074E+12,Jeannette Walls,2005,The Glass Castle,The Glass Castle
82,1845,1845,3284484,108,385486804,9.78039E+12,Jon Krakauer,1996,Into the Wild,Into the Wild
83,1953,1953,2956372,525,141439602,9.78014E+12,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,A Tale of Two Cities
84,7677,6424171,3376836,176,030734813X,9.78031E+12,Michael Crichton,1990,Jurassic Park,"Jurassic Park (Jurassic Park, #1)"
85,370493,370493,30530,81,60256656,9.78006E+12,Shel Silverstein,1964,The Giving Tree,The Giving Tree
86,32542,32542,1804929,158,385338600,9.78039E+12,John Grisham,1989,A Time to Kill,A Time to Kill
87,1617,1617,265616,109,374500010,9.78037E+12,"Elie Wiesel, Marion Wiesel",1958,Un di Velt Hot Geshvign,Night (The Night Trilogy #1)
88,6442769,6442769,3364505,178,014241493X,9.78014E+12,John Green,2008,Paper Towns,Paper Towns
89,21787,21787,992628,129,345418263,9.78035E+12,William Goldman,1973,The Princess Bride,The Princess Bride 
90,231804,231804,1426690,156,014038572X,9.78014E+12,S.E. Hinton,1967,The Outsiders,The Outsiders
91,6186357,6186357,6366642,147,385737947,9.78039E+12,James Dashner,2009,The Maze Runner,"The Maze Runner (Maze Runner, #1)"
92,1202,1202,5397,124,61234001,9.78006E+12,"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)"
93,2998,2998,3186437,1350,517189607,9.78052E+12,Frances Hodgson Burnett,1911,The Secret Garden,The Secret Garden
94,320,320,3295655,555,60531045,9.78006E+12,"Gabriel García Márquez, Gregory Rabassa",1967,Cien años de soledad,One Hundred Years of Solitude
95,5297,5297,1858012,2303,375751513,9.78038E+12,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,The Picture of Dorian Gray
96,13536860,13536860,18034963,133,345803507,9.78035E+12,E.L. James,2012,Fifty Shades Freed,"Fifty Shades Freed (Fifty Shades, #3)"
97,17245,17245,3165724,2207,393970124,9.78039E+12,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,Dracula
98,5060378,5060378,6976108,209,307269981,9.78031E+12,"Stieg Larsson, Reg Keeland",2006,Flickan som lekte med elden,"The Girl Who Played with Fire (Millennium, #2)"
99,11857408,11857408,16813814,147,1612130585,9.78161E+12,E.L. James,2011,Fifty Shades Darker,"Fifty Shades Darker (Fifty Shades, #2)"
100,7244,7244,810663,39,60786507,9.78006E+12,Barbara Kingsolver,1998,The Poisonwood Bible,The Poisonwood Bible
101,4137,4137,1030767,59,349113912,9.78035E+12,David Sedaris,2000,Me Talk Pretty One Day,Me Talk Pretty One Day
102,19543,19543,3020535,110,99408392,9.7801E+12,Maurice Sendak,1963,Where the Wild Things Are,Where the Wild Things Are
103,7126,7126,391568,1310,140449264,9.78014E+12,"Alexandre Dumas, Robin Buss",1844,Le Comte de Monte-Cristo,The Count of Monte Cristo
104,6288,6288,3355573,181,307265439,9.78031E+12,Cormac McCarthy,2006,The Road,The Road
105,18710190,18710190,15524549,153,7524277,9.78001E+12,Veronica Roth,2013,Allegiant,"Allegiant (Divergent, #3)"
106,9418327,9418327,14302659,48,,,Tina Fey,2011,Bossypants,Bossypants
107,3473,3473,3143497,131,446693804,9.78045E+12,Nicholas Sparks,1999,A Walk to Remember,A Walk to Remember
108,9416,9416,3237433,144,440241413,9.78044E+12,Sophie Kinsella,2000,Confessions of a Shopaholic,"Confessions of a Shopaholic (Shopaholic, #1)"
109,24280,24280,3208463,1319,451525264,9.78045E+12,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,Les Misérables
110,10572,10572,3272005,202,553381695,9.78055E+12,George R.R. Martin,1998,A Clash of Kings,"A Clash of Kings  (A Song of Ice and Fire, #2)"
111,10441,10441,2868431,98,143037145,9.78014E+12,Kim Edwards,2005,The Memory Keeper's Daughter,The Memory Keeper's Daughter
112,15507958,15507958,17763198,168,670026603,9.78067E+12,Jojo Moyes,2012,Me Before You,"Me Before You (Me Before You, #1)"
113,168668,168668,814330,251,684833395,9.78068E+12,Joseph Heller,1961,Catch-22,Catch-22
114,6900,6900,1995335,172,751529818,9.78075E+12,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,Tuesdays with Morrie
115,2187,2187,1352495,125,312422156,9.78031E+12,Jeffrey Eugenides,2002,Middlesex,Middlesex
116,24583,24583,41326609,2448,143039563,9.78014E+12,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer
117,18131,18131,948387,165,440498058,9.78044E+12,Madeleine L'Engle,1962,A Wrinkle in Time,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)"
118,7763,7763,1955658,126,143038095,9.78014E+12,Amy Tan,1989,The Joy Luck Club,The Joy Luck Club
119,38447,38447,1119185,236,038549081X,9.78039E+12,Margaret Atwood,1985,The Handmaid's Tale,The Handmaid's Tale
120,452306,452306,1058370,93,385729332,9.78039E+12,Ann Brashares,2001,The Sisterhood of the Traveling Pants,"The Sisterhood of the Traveling Pants (Sisterhood, #1)"
121,7604,7604,1268631,370,,,"Vladimir Nabokov, Craig Raine",1955,Lolita,Lolita
122,37442,37442,1479280,80,60987103,9.78006E+12,"Gregory Maguire, Douglas Smith",1995,Wicked: The Life and Times of the Wicked Witch of the West,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)"
123,5358,5358,38270,11,582418275,9.78058E+12,John Grisham,1991,The Firm,"The Firm (Penguin Readers, Level 5)"
124,7937843,7937843,9585076,151,316098337,9.78032E+12,Emma Donoghue,2010,Room,Room
125,1420,1420,1885548,1929,521618746,9.78052E+12,"William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie of Hamlet, Prince of Denmark",Hamlet
126,234225,234225,3634639,241,340839937,9.78034E+12,Frank Herbert,1965,Dune,Dune (Dune Chronicles #1)
127,2612,2612,2124255,100,316346624,9.78032E+12,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,The Tipping Point: How Little Things Can Make a Big Difference
128,11084145,11084145,16005831,190,1451648537,9.78145E+12,Walter Isaacson,2011,Steve Jobs,Steve Jobs
129,332613,332613,2100252,275,451163966,9.78045E+12,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest
130,2165,2165,69741,666,684830493,9.78068E+12,Ernest Hemingway,1952,The Old Man and the Sea,The Old Man and the Sea
131,4395,18114322,2931549,381,142000663,9.78014E+12,John Steinbeck,1939,The Grapes of Wrath,The Grapes of Wrath
132,3431,3431,2561472,123,1401308589,9.7814E+12,Mitch Albom,2003,The Five People You Meet in Heaven,The Five People You Meet in Heaven
133,8127,8127,3464264,1314,451528824,9.78045E+12,L.M. Montgomery,1908,Anne of Green Gables,"Anne of Green Gables (Anne of Green Gables, #1)"
134,3777732,3777732,3443248,122,1416914307,9.78142E+12,Cassandra Clare,2009,City of Glass,"City of Glass (The Mortal Instruments, #3)"
135,62291,62291,1164465,175,055357342X,9.78055E+12,George R.R. Martin,2000,A Storm of Swords,"A Storm of Swords (A Song of Ice and Fire, #3)"
136,137791,137791,1010054,75,006075995X,9.78006E+12,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,Divine Secrets of the Ya-Ya Sisterhood
137,10964,10964,2489796,189,440242940,9.78044E+12,Diana Gabaldon,1991,Outlander,"Outlander (Outlander, #1)"
138,12296,12296,4925227,1579,142437263,9.78014E+12,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,The Scarlet Letter
139,9460487,9460487,14345371,155,1594744769,9.78159E+12,Ransom Riggs,2011,Miss Peregrine’s Home for Peculiar Children,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)"
140,6892870,6892870,12883496,193,030726999X,9.78031E+12,"Stieg Larsson, Reg Keeland",2007,Luftslottet som sprängdes,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)"
141,18007564,18007564,21825181,148,804139024,9.7808E+12,Andy Weir,2012,The Martian,The Martian
142,5043,5043,3359698,255,451207149,9.78045E+12,Ken Follett,1989,The Pillars of the Earth,"The Pillars of the Earth (The Kingsbridge Series, #1)"
143,18143977,18143977,25491300,139,1476746583,9.78148E+12,Anthony Doerr,2014,,All the Light We Cannot See
144,8664353,8664353,12946965,16,1400064163,9.7814E+12,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Unbroken: A World War II Story of Survival, Resilience, and Redemption"
145,976,976,3135896,180,671027387,9.78067E+12,Dan Brown,2001,Deception Point,Deception Point
146,17333223,17333223,24065147,108,316055433,9.78032E+12,Donna Tartt,2013,The Goldfinch,The Goldfinch
147,1217100,29844228,2588213,150,1595141715,9.7816E+12,Jay Asher,2007,Thirteen Reasons Why,Thirteen Reasons Why
148,2865,2865,3358875,169,452287022,9.78045E+12,Tracy Chevalier,1999,Girl with a Pearl Earring,Girl with a Pearl Earring
149,4374400,4374400,4422413,130,525421033,9.78053E+12,Gayle Forman,2009,If I Stay,"If I Stay (If I Stay, #1)"
150,4989,4989,1041558,80,312353766,9.78031E+12,Anita Diamant,1997,The Red Tent,The Red Tent
151,28186,28186,43554,121,786856866,9.78079E+12,Rick Riordan,2006,The Sea of Monsters,"The Sea of Monsters (Percy Jackson and the Olympians, #2)"
152,5526,5526,3222389,111,446528056,9.78045E+12,Nicholas Sparks,2006,Dear John,Dear John
153,1582996,1582996,1575860,125,1416914293,9.78142E+12,Cassandra Clare,2008,City of Ashes,"City of Ashes (The Mortal Instruments, #2)"
154,8852,8852,1896522,1732,743477103,9.78074E+12,William Shakespeare,1606,The Tragedy of Macbeth,Macbeth
155,15241,15241,2963845,453,618346260,9.78062E+12,J.R.R. Tolkien,1954,The Two Towers,"The Two Towers (The Lord of the Rings, #2)"
156,42156,42156,1789440,65,031232118X,9.78031E+12,Emily Giffin,2004,Something Borrowed,"Something Borrowed (Darcy & Rachel, #1)"
157,23772,23772,86934,72,394800168,9.78039E+12,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,Green Eggs and Ham
158,6310,6310,2765786,338,142403881,9.78014E+12,"Roald Dahl, Quentin Blake",1964,Charlie and the Chocolate Factory,"Charlie and the Chocolate Factory (Charlie Bucket, #1)"
159,2120932,2120932,2377629,92,1423101464,9.78142E+12,Rick Riordan,2008,The Battle of the Labyrinth,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)"
160,2623,2623,2612809,1725,192833596,9.78019E+12,Charles Dickens,1860,Great Expectations,Great Expectations
161,18512,18512,2964424,470,345339738,9.78035E+12,J.R.R. Tolkien,1955,The Return of the King,"The Return of the King (The Lord of the Rings, #3)"
162,49552,49552,3324344,675,,,"Albert Camus, Matthew    Ward",1942,L’Étranger,The Stranger
163,7736182,7736182,10107891,72,142311339X,9.78142E+12,Rick Riordan,2010,The Lost Hero,"The Lost Hero (The Heroes of Olympus, #1)"
164,15745753,15745753,17225055,103,1250012570,9.78125E+12,Rainbow Rowell,2013,Eleanor & Park,Eleanor & Park
165,13497,13497,1019062,176,055358202X,9.78055E+12,George R.R. Martin,2005,A Feast for Crows,"A Feast for Crows (A Song of Ice and Fire, #4)"
166,7735333,7735333,9631645,84,525423648,9.78053E+12,Ally Condie,2010,Matched,"Matched (Matched, #1)"
167,4407,30165203,1970226,196,747263744,9.78075E+12,Neil Gaiman,2001,American Gods,"American Gods (American Gods, #1)"
168,149267,149267,1742269,195,385199570,9.78039E+12,"Stephen King, Bernie Wrightson",1978,The Stand,The Stand
169,6400090,6400090,6588800,95,446547565,9.78045E+12,Nicholas Sparks,2008,The Last Song,The Last Song
170,11125,11125,40195,185,552151696,9.78055E+12,Dan Brown,1998,Digital Fortress,Digital Fortress
171,6969,6969,3360164,1710,141439580,9.78014E+12,"Jane Austen, Fiona Stafford",1815,Emma,Emma
172,15823480,15823480,2507928,1492,345803922,9.78035E+12,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Анна Каренина,Anna Karenina
173,227463,227463,23596,283,393312836,9.78039E+12,Anthony Burgess,1962,A Clockwork Orange,A Clockwork Orange
174,1812457,1812457,2666268,134,964729237,9.78096E+12,William Paul Young,2007,The Shack: Where Tragedy Confronts Eternity,The Shack
175,4502507,4556058,4551489,87,739380338,9.78074E+12,Rick Riordan,2009,The Last Olympian,"The Last Olympian (Percy Jackson and the Olympians, #5)"
176,18342,830502,150259,7,451169514,9.78045E+12,Stephen King,1986,It,It
177,7144,7144,3393917,1714,143058142,9.78014E+12,"Fyodor Dostoyevsky, David McDuff",1866,Преступление и наказание,Crime and Punishment
178,6514,6514,1385044,246,61148512,9.78006E+12,Sylvia Plath,1963,The Bell Jar,The Bell Jar
179,252577,252577,2883783,184,7205236,9.78001E+12,Frank McCourt,1996,Angela's Ashes: A Memoir,"Angela's Ashes (Frank McCourt, #1)"
180,52036,52036,4840290,972,553208845,9.78055E+12,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,Siddhartha
181,168642,168642,1940709,223,679745580,9.78068E+12,Truman Capote,1965,In Cold Blood,In Cold Blood
182,6304335,6304335,6488966,119,316042676,9.78032E+12,"Kami Garcia, Margaret Stohl",2009,Beautiful Creatures,"Beautiful Creatures (Caster Chronicles, #1)"
183,7171637,7171637,6674837,103,1416975861,9.78142E+12,Cassandra Clare,2010,Clockwork Angel,"Clockwork Angel (The Infernal Devices, #1)"
184,39988,39988,1015554,242,141301066,9.78014E+12,"Roald Dahl, Quentin Blake",1988,Matilda,Matilda
185,9361589,9361589,14245059,119,385534639,9.78039E+12,Erin Morgenstern,2011,The Night Circus,The Night Circus
186,37470,37470,3248536,111,743227441,9.78074E+12,Philippa Gregory,2001,The Other Boleyn Girl,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)"
187,24770,24770,2895388,98,689865384,9.78069E+12,Scott Westerfeld,2005,Uglies,"Uglies (Uglies, #1)"
188,10664113,10664113,2936175,115,,,George R.R. Martin,2011,A Dance with Dragons,"A Dance with Dragons (A Song of Ice and Fire, #5)"
189,33,33,3462456,380,618640150,9.78062E+12,J.R.R. Tolkien,1955,The Lord of the Rings,"The Lord of the Rings (The Lord of the Rings, #1-3)"
190,12262741,12262741,17237712,101,307592731,9.78031E+12,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail ,Wild: From Lost to Found on the Pacific Crest Trail
191,472331,472331,4358649,90,930289234,9.78093E+12,"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen,Watchmen
192,186074,186074,2502879,123,075640407X,9.78076E+12,Patrick Rothfuss,2007,The Name of the Wind,"The Name of the Wind (The Kingkiller Chronicle, #1)"
193,3228917,3228917,3364437,120,316017922,9.78032E+12,Malcolm Gladwell,2008,Outliers: The Story of Success,Outliers: The Story of Success
194,153747,153747,2409320,1823,142437247,9.78014E+12,"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby Dick; or, The Whale","Moby-Dick or, The Whale"
195,2728527,2728527,2754161,116,385340990,9.78039E+12,"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary and Potato Peel Pie Society
196,5759,5759,68729,162,393327345,9.78039E+12,Chuck Palahniuk,1996,Fight Club,Fight Club
197,301082,301082,479517,109,441008534,9.78044E+12,Charlaine Harris,2001,Dead Until Dark,"Dead Until Dark (Sookie Stackhouse, #1)"
198,11486,11486,3300573,155,671727796,9.78067E+12,Alice Walker,1982,The Color Purple,The Color Purple
199,12691,12691,14961,119,739461192,9.78074E+12,John Grogan,2005,Marley & Me: Life and Love with the World's Worst Dog,Marley and Me: Life and Love With the World's Worst Dog
200,16299,16299,3038872,474,312330871,9.78031E+12,Agatha Christie,1939,Ten Little Niggers,And Then There Were None
201,6411961,6411961,6600281,208,385504225,9.78039E+12,Dan Brown,2009,The Lost Symbol,"The Lost Symbol (Robert Langdon, #3)"
202,6339664,6339664,6525609,91,1416989412,9.78142E+12,Becca Fitzpatrick,2009,"Hush, Hush","Hush, Hush (Hush, Hush, #1)"
203,11505797,11505797,16441531,85,,,Jamie McGuire,2011,Beautiful Disaster,"Beautiful Disaster (Beautiful, #1)"
